epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2218.96,1.15204,0.61089,1.14148,0.94786,0.9469,0.97112,0.65956,1.16778,0.57121,1.16504,0.0011882,0.0011882,0.0011882
43,2270.58,1.12717,0.59347,1.14026,0.94851,0.94792,0.96879,0.66302,1.18906,0.55125,1.18375,0.0011684,0.0011684,0.0011684
44,2323.58,1.12578,0.60233,1.14912,0.954,0.93612,0.96937,0.64162,1.24752,0.57375,1.19895,0.0011486,0.0011486,0.0011486
45,2375.2,1.14489,0.602,1.15303,0.96365,0.92361,0.97013,0.65186,1.20103,0.56927,1.18828,0.0011288,0.0011288,0.0011288
46,2427.11,1.14729,0.58891,1.16172,0.95371,0.93007,0.96735,0.65044,1.20177,0.55024,1.18714,0.001109,0.001109,0.001109
47,2478.96,1.12305,0.5906,1.141,0.96302,0.94444,0.97092,0.65406,1.21313,0.53522,1.17549,0.0010892,0.0010892,0.0010892
48,2532.43,1.14578,0.59898,1.14259,0.94552,0.94444,0.97287,0.6525,1.20931,0.54478,1.16952,0.0010694,0.0010694,0.0010694
49,2584.88,1.09916,0.56951,1.11249,0.96785,0.94066,0.9754,0.66447,1.19303,0.53677,1.16698,0.0010496,0.0010496,0.0010496
50,2636.75,1.09235,0.56584,1.11502,0.95766,0.94097,0.97133,0.66213,1.19472,0.54159,1.15929,0.0010298,0.0010298,0.0010298
51,2690.2,1.12115,0.57117,1.12074,0.93871,0.95732,0.97386,0.65033,1.25063,0.5688,1.19493,0.00101,0.00101,0.00101
52,2742,1.09298,0.56696,1.12459,0.94534,0.95139,0.96851,0.66551,1.16083,0.55138,1.15674,0.0009902,0.0009902,0.0009902
53,2795.47,1.08657,0.55223,1.11705,0.95068,0.92708,0.96888,0.65644,1.18655,0.53558,1.14777,0.0009704,0.0009704,0.0009704
54,2849.46,1.0643,0.55746,1.12358,0.97102,0.93078,0.97278,0.66945,1.18708,0.52997,1.16105,0.0009506,0.0009506,0.0009506
55,2901.24,1.04858,0.53978,1.1096,0.94445,0.94444,0.97073,0.66427,1.19185,0.53612,1.16696,0.0009308,0.0009308,0.0009308
56,2952.71,1.05422,0.53575,1.10337,0.96111,0.94404,0.97799,0.67999,1.15054,0.52821,1.14417,0.000911,0.000911,0.000911
57,3005.64,1.09618,0.58013,1.1333,0.94504,0.95531,0.97346,0.66392,1.18728,0.52828,1.16422,0.0008912,0.0008912,0.0008912
58,3058.96,1.0606,0.54083,1.09611,0.96667,0.94792,0.97512,0.66854,1.17094,0.51686,1.13941,0.0008714,0.0008714,0.0008714
59,3110.86,1.0416,0.5389,1.08645,0.96431,0.93808,0.97341,0.6774,1.14918,0.5237,1.12954,0.0008516,0.0008516,0.0008516
60,3162.65,1.04546,0.5307,1.0887,0.9529,0.9375,0.96595,0.67161,1.14615,0.50756,1.13284,0.0008318,0.0008318,0.0008318
61,3215.23,1.0462,0.52473,1.0927,0.94662,0.94792,0.9735,0.67433,1.18598,0.5173,1.15726,0.000812,0.000812,0.000812
62,3267.97,1.05234,0.52925,1.09837,0.96092,0.95139,0.97313,0.66694,1.18156,0.51549,1.15874,0.0007922,0.0007922,0.0007922
63,3320.89,1.02109,0.52339,1.08479,0.94089,0.93957,0.97021,0.67067,1.17453,0.52027,1.15738,0.0007724,0.0007724,0.0007724
